District,School,Assessment,"Proficient, 2022","Proficient, 2023","Proficient, 2024",Percentage point change 2022-'23,Percentage point change 2023-'24
Howard,Folly Quarter Middle,Geometry,95,95,95,,
Prince George's,Forest Heights Elementary,Mathematics 4,11.9,5,9.4,,
Prince George's,Forest Heights Elementary,English Language Arts 3,5.6,24.1,10.3,18.5,-13.8
Prince George's,Forest Heights Elementary,Mathematics 3,5,24.1,10.3,,-13.8
Prince George's,Forest Heights Elementary,English Language Arts 5,15.2,22.5,23.3,7.3,0.8
Prince George's,Forest Heights Elementary,English Language Arts 4,28.2,25,32.3,-3.2,7.3
Prince George's,Forest Heights Elementary,Mathematics 5,9.4,5,5,,
Prince George's,Forest Heights Elementary,Mathematics 6,5,18.8,,,
Prince George's,Forest Heights Elementary,English Language Arts 6,23.3,37.5,,,
Harford,Forest Hill Elementary,Mathematics 5,28.2,33.3,37.9,5.1,4.6
Harford,Forest Hill Elementary,Mathematics 4,43.7,38.4,42.3,-5.3,3.9
Harford,Forest Hill Elementary,English Language Arts 4,60.6,61.6,70.4,1,8.8
Harford,Forest Hill Elementary,Mathematics 3,68.6,60.6,76.5,-8,15.9
Harford,Forest Hill Elementary,English Language Arts 3,58.1,83.1,77.8,25,-5.3
Harford,Forest Hill Elementary,English Language Arts 5,60.6,54.2,78.2,-6.4,24
Montgomery,Forest Knolls Elementary,Mathematics 4,40,46.8,40.5,6.8,-6.3
Montgomery,Forest Knolls Elementary,English Language Arts 4,63.1,61.8,47.3,-1.3,-14.5
Montgomery,Forest Knolls Elementary,Mathematics 5,38.8,41,49.4,2.2,8.4
Montgomery,Forest Knolls Elementary,English Language Arts 5,70.8,58,67.5,-12.8,9.5
Montgomery,Forest Knolls Elementary,English Language Arts 3,77.2,57.1,70.5,-20.1,13.4
Montgomery,Forest Knolls Elementary,Mathematics 3,61.7,57.1,72.6,-4.6,15.5
Harford,Forest Lakes Elementary,Mathematics 5,46,50,43.5,4,-6.5
Harford,Forest Lakes Elementary,Mathematics 3,54.7,67.3,56.2,12.6,-11.1
Harford,Forest Lakes Elementary,Mathematics 4,67.9,53.3,60.2,-14.6,6.9
Harford,Forest Lakes Elementary,English Language Arts 4,78.2,73.3,68.9,-4.9,-4.4
Harford,Forest Lakes Elementary,English Language Arts 5,57.5,73.2,69.4,15.7,-3.8
Harford,Forest Lakes Elementary,English Language Arts 3,64.2,72.2,71.2,8,-1
Montgomery,Forest Oak Middle,Algebra 1,6.9,13.2,7.5,6.3,-5.7
Montgomery,Forest Oak Middle,Mathematics 6,7.2,5.1,8.7,-2.1,3.6
Montgomery,Forest Oak Middle,Geometry,5,5.7,13.9,,8.2
Montgomery,Forest Oak Middle,English Language Arts 6,27,26.6,23.8,-0.4,-2.8
Montgomery,Forest Oak Middle,English Language Arts 8,29.3,31.5,26.2,2.2,-5.3
Montgomery,Forest Oak Middle,English Language Arts 7,31,34.2,27.1,3.2,-7.1
Montgomery,Forest Oak Middle,Mathematics 7,5,5,5,,
Montgomery,Forest Oak Middle,Mathematics 8,5,5,5,,
Montgomery,Forest Oak Middle,Algebra 2,*,*,,,
Baltimore City,Forest Park High,Algebra 1,5,5.6,11.1,,5.5
Baltimore City,Forest Park High,English Language Arts 10,12.3,19.2,22.3,6.9,3.1
Howard,Forest Ridge Elementary,Mathematics 5,32.7,36.4,24.7,3.7,-11.7
Howard,Forest Ridge Elementary,Mathematics 4,34.8,29.7,31.1,-5.1,1.4
Howard,Forest Ridge Elementary,Mathematics 3,36.8,31.6,34.6,-5.2,3
Howard,Forest Ridge Elementary,English Language Arts 4,45.1,44.4,39.3,-0.7,-5.1
Howard,Forest Ridge Elementary,English Language Arts 5,47.7,49.1,49.5,1.4,0.4
Howard,Forest Ridge Elementary,English Language Arts 3,43.7,43.1,52,-0.6,8.9
Prince George's,Fort Foote Elementary,Mathematics 4,5,19,17.5,,-1.5
Prince George's,Fort Foote Elementary,Mathematics 5,5.1,5,21.3,,
Prince George's,Fort Foote Elementary,English Language Arts 3,45,39.5,29.2,-5.5,-10.3
Prince George's,Fort Foote Elementary,English Language Arts 5,20.5,11.4,41.9,-9.1,30.5
Prince George's,Fort Foote Elementary,English Language Arts 4,19,35,44.7,16,9.7
Prince George's,Fort Foote Elementary,Mathematics 3,34.1,39.5,5,5.4,
Prince George's,Fort Foote Elementary,Mathematics 6,14.9,7.5,,,
Prince George's,Fort Foote Elementary,English Language Arts 6,54.3,66.7,,,
Baltimore County,Fort Garrison Elementary,Mathematics 4,46.2,60,61.9,13.8,1.9
Baltimore County,Fort Garrison Elementary,Mathematics 5,41.5,48,62.2,6.5,14.2
Baltimore County,Fort Garrison Elementary,English Language Arts 4,58.8,57.1,66.7,-1.7,9.6
Baltimore County,Fort Garrison Elementary,English Language Arts 5,53.7,72,72.2,18.3,0.2
Baltimore County,Fort Garrison Elementary,Mathematics 3,55.9,66.7,73.9,10.8,7.2
Baltimore County,Fort Garrison Elementary,English Language Arts 3,70.6,80.6,82.6,10,2
Allegany,Fort Hill High,Geometry,5,5.5,35.9,,30.4
Allegany,Fort Hill High,English Language Arts 10,43.1,46.9,52.5,3.8,5.6
Allegany,Fort Hill High,Algebra 2,5,5,*,,
Allegany,Fort Hill High,Algebra 1,5,5,5,,
Anne Arundel,Fort Smallwood Elementary,Mathematics 5,29.9,37.3,34.3,7.4,-3
Anne Arundel,Fort Smallwood Elementary,Mathematics 4,37.9,40.8,36.1,2.9,-4.7
Anne Arundel,Fort Smallwood Elementary,Mathematics 3,38.6,41.9,37.5,3.3,-4.4
Anne Arundel,Fort Smallwood Elementary,English Language Arts 3,54.3,53.2,44.6,-1.1,-8.6
Anne Arundel,Fort Smallwood Elementary,English Language Arts 5,48.3,65.7,59.2,17.4,-6.5
Anne Arundel,Fort Smallwood Elementary,English Language Arts 4,65.2,57.7,63.9,-7.5,6.2
Prince George's,Fort Washington Forest Elem,Mathematics 5,,,5.3,,
Prince George's,Fort Washington Forest Elem,Mathematics 4,,,8.5,,
Prince George's,Fort Washington Forest Elem,Mathematics 6,,,12.5,,
Prince George's,Fort Washington Forest Elem,Mathematics 3,,,16.4,,
Prince George's,Fort Washington Forest Elem,English Language Arts 3,,,36.1,,
Prince George's,Fort Washington Forest Elem,English Language Arts 5,,,36.8,,
Prince George's,Fort Washington Forest Elem,English Language Arts 6,,,58.9,,
Prince George's,Fort Washington Forest Elem,English Language Arts 4,,,62.2,,
Prince George's,Fort Washington Forest Elementary,Mathematics 4,12.2,7.9,,,
Prince George's,Fort Washington Forest Elementary,Mathematics 6,10.8,11.4,,,
Prince George's,Fort Washington Forest Elementary,Mathematics 5,11.7,13.5,,,
Prince George's,Fort Washington Forest Elementary,English Language Arts 5,47.5,35.8,,,
Prince George's,Fort Washington Forest Elementary,Mathematics 3,9.4,37.8,,,
Prince George's,Fort Washington Forest Elementary,English Language Arts 4,52,44.7,,,
Prince George's,Fort Washington Forest Elementary,English Language Arts 3,43.8,55.3,,,
Prince George's,Fort Washington Forest Elementary,English Language Arts 6,51.4,64.4,,,
Baltimore City,Fort Worthington Elementary/Middle,English Language Arts 5,5,8.6,8.8,,0.2
Baltimore City,Fort Worthington Elementary/Middle,Mathematics 3,5,5.5,10.9,,5.4
Baltimore City,Fort Worthington Elementary/Middle,English Language Arts 3,14.5,20.8,12.9,6.3,-7.9
Baltimore City,Fort Worthington Elementary/Middle,English Language Arts 4,10,18.8,15.7,8.8,-3.1
Baltimore City,Fort Worthington Elementary/Middle,English Language Arts 8,5,7.6,22.9,,15.3
Baltimore City,Fort Worthington Elementary/Middle,English Language Arts 7,5,13.8,26.8,,13
Baltimore City,Fort Worthington Elementary/Middle,English Language Arts 6,11.3,12.2,29.2,0.9,17
Baltimore City,Fort Worthington Elementary/Middle,Algebra 1,,*,*,,
Baltimore City,Fort Worthington Elementary/Middle,Mathematics 4,5,5.6,5,,
Baltimore City,Fort Worthington Elementary/Middle,Mathematics 5,5,5,5,,
Baltimore City,Fort Worthington Elementary/Middle,Mathematics 6,5,5,5,,
Baltimore City,Fort Worthington Elementary/Middle,Mathematics 7,5,5,5,,
Baltimore City,Fort Worthington Elementary/Middle,Mathematics 8,5,5,5,,
Harford,Fountain Green Elementary,Mathematics 5,38,61.9,55.3,23.9,-6.6
Harford,Fountain Green Elementary,Mathematics 3,64.6,68.2,59.8,3.6,-8.4
Harford,Fountain Green Elementary,English Language Arts 5,54.4,64.3,64.5,9.9,0.2
Harford,Fountain Green Elementary,Mathematics 4,70.9,64.6,64.7,-6.3,0.1
Harford,Fountain Green Elementary,English Language Arts 3,67.1,71.6,67.8,4.5,-3.8
Harford,Fountain Green Elementary,English Language Arts 4,72.2,69.6,77.9,-2.6,8.3
Washington,Fountain Rock Elementary,Mathematics 5,35,25.5,15.2,-9.5,-10.3
Washington,Fountain Rock Elementary,Mathematics 4,30.4,24.2,18,-6.2,-6.2
Washington,Fountain Rock Elementary,English Language Arts 4,71.1,53.1,40,-18,-13.1
Washington,Fountain Rock Elementary,English Language Arts 5,47.5,51.1,42.4,3.6,-8.7
Washington,Fountain Rock Elementary,Mathematics 3,46.7,36.5,51.1,-10.2,14.6
Washington,Fountain Rock Elementary,English Language Arts 3,60,44.2,54.5,-15.8,10.3
Washington,Fountaindale Elementary,Mathematics 4,45.8,52.5,46.4,6.7,-6.1
Washington,Fountaindale Elementary,Mathematics 5,57.7,47.4,52.4,-10.3,5
Washington,Fountaindale Elementary,English Language Arts 4,64.9,81.4,65.2,16.5,-16.2
Washington,Fountaindale Elementary,Mathematics 3,67.2,53.8,65.7,-13.4,11.9
Washington,Fountaindale Elementary,English Language Arts 3,70.7,66.2,66.7,-4.5,0.5
Washington,Fountaindale Elementary,English Language Arts 5,74.3,70.2,67.7,-4.1,-2.5
Anne Arundel,Four Seasons Elementary,Mathematics 3,62.9,72.7,48.1,9.8,-24.6
Anne Arundel,Four Seasons Elementary,Mathematics 5,35.4,34.3,49.5,-1.1,15.2
Anne Arundel,Four Seasons Elementary,Mathematics 4,33.7,48,52.5,14.3,4.5
Anne Arundel,Four Seasons Elementary,English Language Arts 3,74.2,82.8,63.1,8.6,-19.7
Anne Arundel,Four Seasons Elementary,English Language Arts 5,72.6,62,72.3,-10.6,10.3
Anne Arundel,Four Seasons Elementary,English Language Arts 4,66.3,79.6,82.2,13.3,2.6
Montgomery,Fox Chapel Elementary,Mathematics 4,42.1,47.3,44.3,5.2,-3
Montgomery,Fox Chapel Elementary,Mathematics 5,50.9,45.1,45.9,-5.8,0.8
Montgomery,Fox Chapel Elementary,Mathematics 3,35,47.9,50,12.9,2.1
Montgomery,Fox Chapel Elementary,English Language Arts 3,44.3,47.2,53.5,2.9,6.3
Montgomery,Fox Chapel Elementary,English Language Arts 4,66.3,65.1,55.2,-1.2,-9.9
Montgomery,Fox Chapel Elementary,English Language Arts 5,58.7,59.8,62.8,1.1,3
Prince George's,Francis Scott Key Elementary,Mathematics 4,5,5.1,5.5,,0.4
Prince George's,Francis Scott Key Elementary,Mathematics 3,5.1,7.4,10.8,2.3,3.4
Prince George's,Francis Scott Key Elementary,English Language Arts 5,13.8,17.1,15.8,3.3,-1.3
Prince George's,Francis Scott Key Elementary,English Language Arts 3,21.3,25.9,18.1,4.6,-7.8
Prince George's,Francis Scott Key Elementary,English Language Arts 4,15.2,22.4,22.2,7.2,-0.2
Prince George's,Francis Scott Key Elementary,Mathematics 5,5,5,5,,
Baltimore City,Francis Scott Key Elementary/Middle,Mathematics 8,6,5,6.4,,
Baltimore City,Francis Scott Key Elementary/Middle,Mathematics 7,18.4,18.1,7.3,-0.3,-10.8
Baltimore City,Francis Scott Key Elementary/Middle,Mathematics 6,17.4,13.5,19.6,-3.9,6.1
Baltimore City,Francis Scott Key Elementary/Middle,Algebra 1,19.2,62.5,38.3,43.3,-24.2
Baltimore City,Francis Scott Key Elementary/Middle,English Language Arts 7,51.9,59,43.3,7.1,-15.7
Baltimore City,Francis Scott Key Elementary/Middle,Mathematics 4,26.7,59.5,48.8,32.8,-10.7
Baltimore City,Francis Scott Key Elementary/Middle,English Language Arts 6,44.5,40,50,-4.5,10
Baltimore City,Francis Scott Key Elementary/Middle,Mathematics 5,32.3,17.4,51.9,-14.9,34.5
Baltimore City,Francis Scott Key Elementary/Middle,Mathematics 3,66.7,62.2,60.4,-4.5,-1.8
Baltimore City,Francis Scott Key Elementary/Middle,English Language Arts 4,50,67.6,60.5,17.6,-7.1
Baltimore City,Francis Scott Key Elementary/Middle,English Language Arts 8,35.5,56.1,63.4,20.6,7.3
Baltimore City,Francis Scott Key Elementary/Middle,Geometry,,,63.6,,
Baltimore City,Francis Scott Key Elementary/Middle,English Language Arts 3,75.8,64.4,64.6,-11.4,0.2
Baltimore City,Francis Scott Key Elementary/Middle,English Language Arts 5,41.9,50,71.4,8.1,21.4
Carroll,Francis Scott Key High,Algebra 2,,,7.7,,
Carroll,Francis Scott Key High,Algebra 1,11.2,8.9,10.3,-2.3,1.4
Carroll,Francis Scott Key High,English Language Arts 10,46.3,58.5,69.2,12.2,10.7
Montgomery,Francis Scott Key Middle,Mathematics 6,12,5,6.6,,
Montgomery,Francis Scott Key Middle,Algebra 1,10.5,18,15.2,7.5,-2.8
Montgomery,Francis Scott Key Middle,English Language Arts 6,30.2,31.8,30.4,1.6,-1.4
Montgomery,Francis Scott Key Middle,English Language Arts 7,30.5,39.4,30.6,8.9,-8.8
Montgomery,Francis Scott Key Middle,Geometry,7.9,23.1,34.8,15.2,11.7
Montgomery,Francis Scott Key Middle,English Language Arts 8,27.7,37,35.8,9.3,-1.2
Montgomery,Francis Scott Key Middle,Mathematics 7,5,5,5,,
Montgomery,Francis Scott Key Middle,Mathematics 8,5,5,5,,
Montgomery,Francis Scott Key Middle,Algebra 2,,*,,,
Prince George's,Francis T. Evans Elementary,Mathematics 5,13.5,13.7,14.5,0.2,0.8
Prince George's,Francis T. Evans Elementary,Mathematics 4,10.7,10.9,20.4,0.2,9.5
Prince George's,Francis T. Evans Elementary,English Language Arts 5,42.3,34,32.4,-8.3,-1.6
Prince George's,Francis T. Evans Elementary,English Language Arts 4,41.4,29.6,38.9,-11.8,9.3
Prince George's,Francis T. Evans Elementary,English Language Arts 3,49.1,47.2,42.4,-1.9,-4.8
Prince George's,Francis T. Evans Elementary,Mathematics 3,30.9,45.3,43.9,14.4,-1.4
Baltimore County,Franklin Elementary,Mathematics 5,41.2,30.6,28.2,-10.6,-2.4
Baltimore County,Franklin Elementary,Mathematics 4,44.6,32.9,32.8,-11.7,-0.1
Baltimore County,Franklin Elementary,English Language Arts 5,53.7,53.2,49.3,-0.5,-3.9
Baltimore County,Franklin Elementary,Mathematics 3,42.9,48.4,61.5,5.5,13.1
Baltimore County,Franklin Elementary,English Language Arts 4,72.2,43.7,66.1,-28.5,22.4
Baltimore County,Franklin Elementary,English Language Arts 3,47.1,58.1,73.8,11,15.7
Baltimore County,Franklin High,Algebra 1,5,5,11,,
Baltimore County,Franklin High,English Language Arts 10,59.3,46.2,52,-13.1,5.8
Baltimore County,Franklin High,Algebra 2,,11.1,5,,
Baltimore County,Franklin High,Geometry,5,5,5,,
Baltimore County,Franklin Middle,Mathematics 6,7.3,9.4,8.8,2.1,-0.6
Baltimore County,Franklin Middle,Algebra 1,6.6,5,13.5,,
Baltimore County,Franklin Middle,English Language Arts 8,26.2,34.6,26.8,8.4,-7.8
Baltimore County,Franklin Middle,English Language Arts 6,29.4,30,29.6,0.6,-0.4
Baltimore County,Franklin Middle,English Language Arts 7,35.3,30.9,33,-4.4,2.1
Baltimore County,Franklin Middle,Algebra 2,*,,*,,
Baltimore County,Franklin Middle,Geometry,12.7,14.1,5,1.4,
Baltimore County,Franklin Middle,Mathematics 7,5,5,5,,
Baltimore County,Franklin Middle,Mathematics 8,5,5,5,,
Baltimore City,Franklin Square Elementary/Middle,Mathematics 5,5,5,5.1,,
Baltimore City,Franklin Square Elementary/Middle,Mathematics 3,5,7.4,6.1,,-1.3
Baltimore City,Franklin Square Elementary/Middle,Mathematics 4,5,6.7,6.3,,-0.4
Baltimore City,Franklin Square Elementary/Middle,English Language Arts 5,6.9,5,7.7,,
Baltimore City,Franklin Square Elementary/Middle,English Language Arts 3,8,5,8.9,,
Baltimore City,Franklin Square Elementary/Middle,English Language Arts 7,41.2,38.5,23.2,-2.7,-15.3
Baltimore City,Franklin Square Elementary/Middle,English Language Arts 4,14.3,16.7,23.4,2.4,6.7
Baltimore City,Franklin Square Elementary/Middle,English Language Arts 8,37,56.5,29.1,19.5,-27.4
Baltimore City,Franklin Square Elementary/Middle,English Language Arts 6,31.4,8.7,30,-22.7,21.3
Baltimore City,Franklin Square Elementary/Middle,Mathematics 8,12.8,6.7,5,-6.1,
Baltimore City,Franklin Square Elementary/Middle,Mathematics 7,5,15.4,5,,
Baltimore City,Franklin Square Elementary/Middle,Mathematics 6,17.1,5,5,,
Frederick,Frederick Classical Charter,Mathematics 8,10.5,38.1,25,27.6,-13.1
Frederick,Frederick Classical Charter,Mathematics 6,53.7,40.5,29.3,-13.2,-11.2
Frederick,Frederick Classical Charter,Mathematics 7,55,63.4,43.9,8.4,-19.5
Frederick,Frederick Classical Charter,Mathematics 3,44.2,43.9,45.2,-0.3,1.3
Frederick,Frederick Classical Charter,Mathematics 5,50,42.9,47.6,-7.1,4.7
Frederick,Frederick Classical Charter,Mathematics 4,47.6,57.1,51.2,9.5,-5.9
Frederick,Frederick Classical Charter,English Language Arts 3,74.4,65.9,71.4,-8.5,5.5
Frederick,Frederick Classical Charter,English Language Arts 4,83.3,71.4,73.2,-11.9,1.8
Frederick,Frederick Classical Charter,English Language Arts 8,62.2,78,73.8,15.8,-4.2
Frederick,Frederick Classical Charter,English Language Arts 5,64.3,81,73.8,16.7,-7.2
Frederick,Frederick Classical Charter,English Language Arts 7,61.9,88.1,76.2,26.2,-11.9
Frederick,Frederick Classical Charter,Algebra 1,45,90.5,85.7,45.5,-4.8
Frederick,Frederick Classical Charter,English Language Arts 6,82.9,76.2,90.2,-6.7,14
Frederick,Frederick Classical Charter,Geometry,,*,*,,
Frederick,Frederick County Virtual,English Language Arts 10,*,*,*,,
Frederick,Frederick County Virtual,Algebra 1,*,,*,,
Frederick,Frederick County Virtual,Algebra 2,,*,,,
Baltimore City,Frederick Douglass High,English Language Arts 10,10.2,14.6,21,4.4,6.4
Prince George's,Frederick Douglass High,English Language Arts 10,60.5,61.5,62.3,1,0.8
Prince George's,Frederick Douglass High,Algebra 1,5,6.8,5,,
Baltimore City,Frederick Douglass High,Algebra 1,5,5,5,,
Prince George's,Frederick Douglass High,Geometry,,12.9,,,
Prince George's,Frederick Douglass High,Algebra 2,,*,,,
Baltimore City,Frederick Elementary,Mathematics 5,5,5,7.5,,
Baltimore City,Frederick Elementary,English Language Arts 3,6.8,6.6,8.8,-0.2,2.2
Baltimore City,Frederick Elementary,English Language Arts 5,5,5,12.5,,
Baltimore City,Frederick Elementary,English Language Arts 4,5,14.9,5,,
Baltimore City,Frederick Elementary,Mathematics 3,5,5,5,,
Baltimore City,Frederick Elementary,Mathematics 4,5,5,5,,
Baltimore City,Frederick Elementary,English Language Arts 6,*,,,,
Baltimore City,Frederick Elementary,Mathematics 6,*,,,,
Frederick,Frederick High,Algebra 1,6,11,8.1,5,-2.9
Frederick,Frederick High,Algebra 2,,14.4,14.3,,-0.1
Frederick,Frederick High,English Language Arts 10,54.9,54.2,39.5,-0.7,-14.7
Frederick,Frederick High,Geometry,17.2,9.3,5,-7.9,
Carroll,Freedom District Elementary,Mathematics 5,49.5,64,54.2,14.5,-9.8
Carroll,Freedom District Elementary,Mathematics 4,80.6,73.5,67,-7.1,-6.5
Carroll,Freedom District Elementary,English Language Arts 5,66.7,65,67.8,-1.7,2.8
Carroll,Freedom District Elementary,English Language Arts 3,81.6,74.5,68.1,-7.1,-6.4
Carroll,Freedom District Elementary,Mathematics 3,78.9,77.6,73.3,-1.3,-4.3
Carroll,Freedom District Elementary,English Language Arts 4,90.9,82.9,83,-8,0.1
Anne Arundel,Freetown Elementary,Mathematics 4,9.9,28.2,20.5,18.3,-7.7
Anne Arundel,Freetown Elementary,Mathematics 5,11.1,9.5,23.4,-1.6,13.9
Anne Arundel,Freetown Elementary,English Language Arts 5,28.4,25,31,-3.4,6
Anne Arundel,Freetown Elementary,English Language Arts 4,25,49.3,32,24.3,-17.3
Anne Arundel,Freetown Elementary,Mathematics 3,26,19.7,32.4,-6.3,12.7
Anne Arundel,Freetown Elementary,English Language Arts 3,27.6,25,39.4,-2.6,14.4
Prince George's,Friendly High,English Language Arts 10,42.1,30.9,23.1,-11.2,-7.8
Prince George's,Friendly High,Algebra 1,5,5,5,,
Prince George's,Friendly High,Algebra 2,*,*,,,
Prince George's,Friendly High,Geometry,*,*,,,
Carroll,Friendship Valley Elementary,Mathematics 5,44.3,39.3,35.3,-5,-4
Carroll,Friendship Valley Elementary,Mathematics 4,55,65.1,54.2,10.1,-10.9
Carroll,Friendship Valley Elementary,English Language Arts 4,53.8,74.4,55.6,20.6,-18.8
Carroll,Friendship Valley Elementary,English Language Arts 5,69.6,60.7,59,-8.9,-1.7
Carroll,Friendship Valley Elementary,Mathematics 3,63.3,66.7,59.5,3.4,-7.2
Carroll,Friendship Valley Elementary,English Language Arts 3,57,61,61.9,4,0.9
Garrett,Friendsville Elementary,Mathematics 5,18.2,10.7,15.4,-7.5,4.7
Garrett,Friendsville Elementary,Mathematics 4,11.1,20,31.8,8.9,11.8
Garrett,Friendsville Elementary,English Language Arts 5,27.3,25,38.5,-2.3,13.5
Garrett,Friendsville Elementary,English Language Arts 4,37,33.3,45.5,-3.7,12.2
Garrett,Friendsville Elementary,Mathematics 3,18.2,56.5,52.4,38.3,-4.1
Garrett,Friendsville Elementary,English Language Arts 3,9.1,52.2,54.5,43.1,2.3
Allegany,Frost Elementary,Mathematics 5,68.8,46.2,39.1,-22.6,-7.1
Allegany,Frost Elementary,English Language Arts 5,87.5,56.4,52.2,-31.1,-4.2
Allegany,Frost Elementary,Mathematics 4,56.3,36.4,63.9,-19.9,27.5
Allegany,Frost Elementary,English Language Arts 4,66.7,59.1,80.6,-7.6,21.5
Allegany,Frost Elementary,Mathematics 3,52.4,80.6,88,28.2,7.4
Allegany,Frost Elementary,English Language Arts 3,52.4,88.9,92,36.5,3.1
Wicomico,Fruitland Intermediate,Mathematics 4,33.3,32.8,25.6,-0.5,-7.2
Wicomico,Fruitland Intermediate,English Language Arts 5,35.1,32.4,27.3,-2.7,-5.1
Wicomico,Fruitland Intermediate,Mathematics 3,26.6,45,35.2,18.4,-9.8
Wicomico,Fruitland Intermediate,Mathematics 5,30.5,34.2,35.8,3.7,1.6
Wicomico,Fruitland Intermediate,English Language Arts 3,30.1,37,35.9,6.9,-1.1
Wicomico,Fruitland Intermediate,English Language Arts 4,42.8,34.9,39.3,-7.9,4.4
